article_id,article_header,coder,ldi,relevant,start_date,end_date,date_precision,site_name,site_location,site_type,initiator,group_at_site,damage_type
04-2022-211,Did Russian drone drop chemical weapons in Mariupol?; WAR IN UKRAINE As Putin's troops pose in the charred remains of theatre...,Comfort Folakemi Oshagbemi,2025-10-07 20:33:04,Yes,,,Yesterday,Mariupol Theatre,Mariupol,Opera/theatre,Russia,"Ukrainian troops, civilians",Airstrike
02-2024-44,"Ucraine: Italy, Unesco ink accord to help restore Odessa cathedral",Marvin Nathan,2025-10-11 14:26:53,No,,,,,,Other,,,Airstrike
11-2024-97,,Marvin Nathan,2025-10-11 14:29:12,Yes,,,Attacks occurred in July 2023,Odesa City Centre,Odesa,Other,Russian Forces,Civilians,Airstrike
08-2022-13,Painting hues of hope amid turmoil,Marvin Nathan,2025-10-11 14:32:22,Yes,,,Attacks occurred in 2022,Ivankiv Local History Museum,Ivankiv,Museum,Russian forces,No specified group,"Explosion (bomb, explosive detonation)"
09-2022-18,,Marvin Nathan,2025-10-11 14:33:01,No,,,,,,Museum,,,"Explosion (bomb, explosive detonation)"
05-2022-23,,Marvin Nathan,2025-10-11 14:38:35,No,,,Around 2023,Melitopol & Mariupol,Melitopol & Mariupol,Museum,Russian forces,Civilians,Looting/stealing
07-2023-312,"Zelensky: Despite attempts to break our state, we know Ukraine has future",Marvin Nathan,2025-10-11 14:40:16,Yes,07/22/2023,07/22/2023,,Transfiguration Cathedral,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russian Forces,civilians,Airstrike
09-2023-72,,Marvin Nathan,2025-10-11 14:42:23,Yes,,,July 2023,Transfiguration Cathedral,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russian Forces,civilians ,Airstrike
07-2023-372,,Marvin Nathan,2025-10-11 14:44:17,Yes,,,July 2023,Transfiguration Cathedral,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russian forces,civilians,Airstrike
07-2024-32,,Marvin Nathan,2025-10-11 14:47:00,Yes,,,November 2023,Odesa National Fine Arts Museum,Odesa,Museum,Russian Forces,Ukrainian civilians,Airstrike
07-2024-31,,Marvin Nathan,2025-10-11 14:53:17,Yes,,,No specified date,St. Catherine’s Cathedral,Kherson,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russian forces,no specified group,Looting/stealing
09-2022-30,Zelenska Speaks In New York About Condition Of Ukrainian Cultural Sites Amid Russian Aggression,Marvin Nathan,2025-10-11 14:53:33,No,,,No specified date,,,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",,,Looting/stealing
07-2023-103,Russian Strikes Damage Orthodox Cathedral - Odesa,Marvin Nathan,2025-10-11 14:55:06,Yes,07/23/2023,07/23/2023,,Transfiguration Cathedral,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russian forces,civilians,Looting/stealing
07-2023-108,,Marvin Nathan,2025-10-11 14:55:17,No,,,,,,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",,,Looting/stealing
04-2022-211,,Marvin Nathan,2025-10-11 14:59:15,Yes,04/12/2022,04/12/2022,,Mariupol Playhouse,,Other,Russian forces,Ukrainian Civilians,Airstrike
12-2022-41,Foreign Ministry Spokeswoman Maria Zakharova's comment on Ukraine's fighting with historical monuments,Marvin Nathan,2025-10-11 15:04:10,Yes,12/29/2022,12/29/2022,No specified date,Monument to the founders of Odessa,Odessa,Monument,Russian forces,No specified group,Other
03-2022-906,,Marvin Nathan,2025-10-11 15:08:24,Yes,,,No specified date, Sviatohirsk Cave Monastery,Donetsk region,Monastery/seminary/convent,Russian Forces,no specified group,"Shelling (artillery fire, bullet)"
03-2022-906,,Marvin Nathan,2025-10-11 15:09:20,Yes,,,No specified date,Mariupol Drama Theatre,Mariupol,Opera/theatre,Russian Forces,Civilians,"Explosion (bomb, explosive detonation)"
02-2023-22,,Marvin Nathan,2025-10-11 15:11:45,Yes,,,"No specified date, year given as 2022",Melitopol,Melitopol,Archeological site,Russian forces,no specified group,Looting/stealing
02-2023-22,,Marvin Nathan,2025-10-11 15:12:36,Yes,,,"No specified date, year given as 2022",Mariupol,Mariupol,Archeological site,Russian forces,no specified group,Looting/stealing
02-2023-22,,Marvin Nathan,2025-10-11 15:13:35,Yes,,,November 2022,Kherson regional art museum,Kherson,Archeological site,Russian forces,no specified group,Looting/stealing
03-2022-242,"Russia's offensive potential limited, says UK, on Day 23 of war: 10 points",Marvin Nathan,2025-10-11 15:15:06,Yes,,,March 2022,Mariupol Drama Theatre,Mariupol,Opera/theatre,Russian forces,Ukrainian civilians,"Explosion (bomb, explosive detonation)"
07-2023-132,,Marvin Nathan,2025-10-11 15:15:20,No,,,,,,Opera/theatre,,,"Explosion (bomb, explosive detonation)"
07-2023-541,UNESCO condemns Russian attacks against cultural heritage sites in Ukraine,Marvin Nathan,2025-10-11 15:16:44,Yes,07/23/2023,07/23/2023,, Transfiguration Cathedral and the Archaeological Museum,Odesa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russian forces,Ukrainian civilians,Airstrike
10-2022-23,Russia has destroyed more than 200 pieces of Ukraine's cultural heritage,Marvin Nathan,2025-10-11 15:17:05,No,,,,,,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",,,Airstrike
12-2024-46,,Marvin Nathan,2025-10-11 15:17:15,No,,,,,,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",,,Airstrike
08-2024-149,,Marvin Nathan,2025-10-11 15:18:41,No,,,,,,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",,,Airstrike
11-2024-166,,Marvin Nathan,2025-10-11 15:21:40,Yes,11/14/2023,11/15/2023,,Historic Centre of Odesa,Odesa,Other,Russian forces,Ukrainian Civilians,Airstrike
11-2024-166,,Marvin Nathan,2025-10-11 15:21:40,Yes,11/14/2023,11/15/2023,,Historic Centre of Odesa,Odesa,Other,Russian forces,Ukrainian Civilians,Airstrike
12-2023-50,,Marvin Nathan,2025-10-11 15:23:13,Yes,,,No specified date, Vasyl Tarnovsky Museum of Ukrainian Antiquities ,Boldyni Hory,Museum,Russian forces,no specified group,Looting/stealing
12-2023-50,,Marvin Nathan,2025-10-11 15:23:42,Yes,,,No specified date,Burial mound,Boldyni Hory,"Place of burial (shrine, mausoleum, tomb, grave)",Russian forces,no specified group,Airstrike
12-2023-65,,Marvin Nathan,2025-10-11 15:24:10,No,,,No specified date,,,"Place of burial (shrine, mausoleum, tomb, grave)",,,Airstrike
